"Time","yolo-server-6b58946cb4-5922k / default / PKG","yolo-server-99847bd7d-pfn7h / default / PKG","yolo-server-6b58946cb4-5922k / default / DRAM","yolo-server-99847bd7d-pfn7h / default / DRAM","yolo-server-6b58946cb4-5922k / default / OTHER","yolo-server-99847bd7d-pfn7h / default / OTHER","yolo-server-6b58946cb4-5922k / default / GPU","yolo-server-99847bd7d-pfn7h / default / GPU"
2024-08-07 21:17:00,,14.1,,0,,0,,0
2024-08-07 21:17:10,,14.0,,0,,0,,0
2024-08-07 21:17:20,,14.0,,0,,0,,0
2024-08-07 21:17:30,,14.0,,0,,0,,0
2024-08-07 21:17:40,,13.9,,0,,0,,0
2024-08-07 21:17:50,,13.9,,0,,0,,0
2024-08-07 21:18:00,,13.9,,0,,0,,0
2024-08-07 21:18:10,,14.2,,0,,0,,0
2024-08-07 21:18:20,,14.2,,0,,0,,0
2024-08-07 21:18:30,,14.2,,0,,0,,0
2024-08-07 21:18:40,,8.82,,0,,0,,0
2024-08-07 21:18:50,,8.82,,0,,0,,0
2024-08-07 21:19:00,,8.82,,0,,0,,0
2024-08-07 21:19:10,,0.213,,0,,0,,0
2024-08-07 21:19:20,,0.213,,0,,0,,0
2024-08-07 21:19:30,,0.213,,0,,0,,0
2024-08-07 21:19:40,,0.0717,,0,,0,,0
2024-08-07 21:19:50,,0.0717,,0,,0,,0
2024-08-07 21:20:00,,0.0717,,0,,0,,0
2024-08-07 21:20:10,,0,,0,,0,,0
2024-08-07 21:20:20,,0,,0,,0,,0
2024-08-07 21:20:30,,0,,0,,0,,0
2024-08-07 21:20:40,,0,,0,,0,,0
2024-08-07 21:20:50,,0,,0,,0,,0
2024-08-07 21:21:00,,0,,0,,0,,0
2024-08-07 21:21:10,,0,,0,,0,,0
2024-08-07 21:21:20,,0,,0,,0,,0
2024-08-07 21:21:30,,0,,0,,0,,0
2024-08-07 21:21:40,,6.80,,0,,0,,0
2024-08-07 21:21:50,,6.80,,0,,0,,0
2024-08-07 21:22:00,,6.80,,0,,0,,0
2024-08-07 21:22:10,,17.6,,0,,0,,0
2024-08-07 21:22:20,,17.6,,0,,0,,0
2024-08-07 21:22:30,,17.6,,0,,0,,0
2024-08-07 21:22:40,,18.0,,0,,0,,0
2024-08-07 21:22:50,,18.0,,0,,0,,0
2024-08-07 21:23:00,,18.0,,0,,0,,0
2024-08-07 21:23:10,,17.6,,0,,0,,0
2024-08-07 21:23:20,,17.6,,0,,0,,0
2024-08-07 21:23:30,,17.6,,0,,0,,0
2024-08-07 21:23:40,,18.7,,0,,0,,0
2024-08-07 21:23:50,,18.7,,0,,0,,0
2024-08-07 21:24:00,,18.7,,0,,0,,0
2024-08-07 21:24:10,,18.1,,0,,0,,0
2024-08-07 21:24:20,,18.1,,0,,0,,0
2024-08-07 21:24:30,,18.1,,0,,0,,0
2024-08-07 21:24:40,,18.8,,0,,0,,0
2024-08-07 21:24:50,,18.8,,0,,0,,0
2024-08-07 21:25:00,,18.8,,0,,0,,0
2024-08-07 21:25:10,,18.6,,0,,0,,0
2024-08-07 21:25:20,,18.6,,0,,0,,0
2024-08-07 21:25:30,,18.6,,0,,0,,0
2024-08-07 21:25:40,,19.6,,0,,0,,0
2024-08-07 21:25:50,,19.6,,0,,0,,0
2024-08-07 21:26:00,,19.6,,0,,0,,0
2024-08-07 21:26:10,,19.3,,0,,0,,0
2024-08-07 21:26:20,,19.3,,0,,0,,0
2024-08-07 21:26:30,,19.3,,0,,0,,0
2024-08-07 21:26:40,,19.1,,0,,0,,0
2024-08-07 21:26:50,,19.1,,0,,0,,0
2024-08-07 21:27:00,,19.1,,0,,0,,0
2024-08-07 21:27:10,,19.8,,0,,0,,0
2024-08-07 21:27:20,,19.8,,0,,0,,0
2024-08-07 21:27:30,,19.8,,0,,0,,0
2024-08-07 21:27:40,,19.5,,0,,0,,0
2024-08-07 21:27:50,,19.5,,0,,0,,0
2024-08-07 21:28:00,,19.5,,0,,0,,0
2024-08-07 21:28:10,,18.8,,0,,0,,0
2024-08-07 21:28:20,,18.8,,0,,0,,0
2024-08-07 21:28:30,,18.8,,0,,0,,0
2024-08-07 21:28:40,,18.7,,0,,0,,0
2024-08-07 21:28:50,,18.7,,0,,0,,0
2024-08-07 21:29:00,,18.7,,0,,0,,0
2024-08-07 21:29:10,,19.6,,0,,0,,0
2024-08-07 21:29:20,,19.6,,0,,0,,0
2024-08-07 21:29:30,,19.6,,0,,0,,0
2024-08-07 21:29:40,,18.8,,0,,0,,0
2024-08-07 21:29:50,,18.8,,0,,0,,0
2024-08-07 21:30:00,,18.8,,0,,0,,0
2024-08-07 21:30:10,,19.1,,0,,0,,0
2024-08-07 21:30:20,,19.1,,0,,0,,0
2024-08-07 21:30:30,,19.1,,0,,0,,0
2024-08-07 21:30:40,,19.6,,0,,0,,0
